Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Beksan;04.01.2021;BTE2021000000040;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;04.01.2021;BTE2021000000050;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;450,00;81,00;0,00;531,00;0,00;0,00;0,00
Bekkiler;07.01.2021;VTN2021000008214;HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;100,00;18,00;0,00;118,00;0,00;0,00;0,00
Beksan;18.01.2021;BTE2021000000286;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;350,22;63,04;0,00;413,26;0,00;0,00;0,00
Bekkiler;21.01.2021;VTN2021000026427;HP HP001GBBLK5TW HDMI TO HDMI CABLE- 5M;DONANIM G.;VATAN BİLGİSAYAR;1,00;83,82;15,09;0,00;98,91;0,00;0,00;0,00
Bekkiler;21.01.2021;VTN2021000026427;GOLDMASTER CAB-186 1.5 M HDMI KABLO-SİYAH;DONANIM G.;VATAN BİLGİSAYAR;1,00;25,31;4,56;0,00;29,87;0,00;0,00;0,00
Bekkiler;21.01.2021;VTN2021000026427;S-LINK SL-DS560 DISPLAY DEN HDMI KABLO 1.8M;DONANIM G.;VATAN BİLGİSAYAR;1,00;81,55;14,68;0,00;96,23;0,00;0,00;0,00
Beksan;29.01.2021;VTN2021000037180;FRISBY- HARDDISK YUVASI;DONANIM G.;VATAN BİLGİSAYAR;2,00;45,85;16,51;0,00;108,21;0,00;0,00;0,00
Beksan;29.01.2021;VTN2021000037180;KİNGSTON 240GB HYPERX SSD;DONANIM G.;VATAN BİLGİSAYAR;2,00;260,93;93,93;0,00;615,79;0,00;0,00;0,00
Beksan;31.01.2021;A162021000189856;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;229,29;41,27;17,20;287,76;0,00;0,00;0,00
Beksan;31.01.2021;A162021000140416;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;103,39;18,61;7,75;129,75;0,00;0,00;0,00
Bekkiler;31.01.2021;A162021000195869;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;119,32;21,48;8,95;149,75;0,00;0,00;0,00
Bekkiler;31.01.2021;A162021000062469;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;103,39;18,61;7,75;129,75;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462751 (OCAK 2021)(GSM:29% SA:6% SI:55% DO:10% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Beksan;31.01.2021;K012021000010570;TELEFON;SABIT HAT;TURKTELEKOM;1,00;505,58;91,00;37,92;634,50;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465108 (OCAK 2021)(GSM:32% SA:18% SI:48% TN:1% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662463513 (OCAK 2021)(GSM:21% SA:13% SI:59% TO:2% DO:4% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462750 (OCAK 2021)(GSM:18% SA:30% SI:46% TO:2% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460518 (OCAK 2021)(GSM:25% SA:7% SI:60% DO:8% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462755 (OCAK 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462752 (OCAK 2021)(GSM:27% SA:9% SI:54% TN:2% DO:8% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460409 (OCAK 2021)(GSM:21% SA:20% SI:50% TN:2% DO:8% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662461426 (OCAK 2021)(SI:86% DO:14% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465109 (OCAK 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;31.01.2021;VB62021013102768;İSKONTO;SABIT HAT;TURKNET;1,00;-38,30;-6,89;-3,83;-49,02;0,00;0,00;0,00
Beksan;01.02.2021;BTE2021000000465;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;400,00;72,00;0,00;472,00;0,00;0,00;0,00
Bekkiler;01.02.2021;BTE2021000000477;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;450,00;81,00;0,00;531,00;0,00;0,00;0,00
Bekkiler;08.02.2021;BIL2021000000031;KAREL TM145 TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;3,00;118,65;64,07;0,00;420,02;0,00;0,00;0,00
Beksan;24.02.2021;BTE2021000000805;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;333,04;59,95;0,00;392,99;0,00;0,00;0,00
Beksan;28.02.2021;A162021000476991;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;229,10;41,24;22,91;293,25;0,00;0,00;0,00
Beksan;28.02.2021;A162021000420610;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;31,84;5,73;3,18;40,75;0,00;0,00;0,00
Bekkiler;28.02.2021;A162021000471839;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;118,75;21,38;11,88;152,00;0,00;0,00;0,00
Bekkiler;28.02.2021;A162021000349255;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;102,93;18,53;10,29;131,75;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462751 (ŞUBAT 2021)(GSM:35% SA:10% SI:48% TN:1% DO:6% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662460518 (ŞUBAT 2021)(GSM:34% SA:14% SI:46% TN:1% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462750 (ŞUBAT 2021)(GSM:26% SA:20% SI:50% TO:2% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662461426 (ŞUBAT 2021)(SA:100% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462752 (ŞUBAT 2021)(GSM:36% SA:11% SI:51% DO:2% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662463513 (ŞUBAT 2021)(GSM:23% SA:10% SI:56% TO:8% DO:5% );SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662462755 (ŞUBAT 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
Bekkiler;28.02.2021;VC32021022802192;İŞ TELEFON - 1000 DAKİKA - TAAHHÜTSÜZ-2662465109 (ŞUBAT 2021);SABIT HAT;TURKNET;1,00;28,05;5,05;2,81;35,90;0,00;0,00;0,00
