Fatura no;Fatura Ýçeriði
BTE2021000000040;SISTEM DESTEK HIZMET BEDELI
BTE2021000000050;SISTEM DESTEK HIZMET BEDELI
VTN2021000008214; HP 103A 2500 SAYFA KAPASÝTELÝ SÝYAH TONER (W1103A )
BTE2021000000286;MICROSOFT AZURE
VTN2021000026427; HP HP001GBBLK5TW HDMI TO HDMI CABLE- 5M
VTN2021000026427; GOLDMASTER CAB-186 1.5 M HDMI KABLO-SÝYAH
VTN2021000026427; S-LINK SL-DS560 DISPLAY DEN HDMI KABLO 1.8M
VTN2021000037180;FRISBY- HARDDISK YUVASI
VTN2021000037180;KÝNGSTON 240GB HYPERX SSD
A162021000189856;DSL(ÝNTERNET)
A162021000140416;DSL(ÝNTERNET)
A162021000195869;DSL(ÝNTERNET)
A162021000062469;DSL(ÝNTERNET)
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (OCAK 2021)(GSM:29% SA:6% SI:55% DO:10% )
K012021000010570;TELEFON
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (OCAK 2021)(GSM:32% SA:18% SI:48% TN:1% DO:2% )
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (OCAK 2021)(GSM:21% SA:13% SI:59% TO:2% DO:4% )
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (OCAK 2021)(GSM:18% SA:30% SI:46% TO:2% DO:5% )
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (OCAK 2021)(GSM:25% SA:7% SI:60% DO:8% )
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (OCAK 2021)
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (OCAK 2021)(GSM:27% SA:9% SI:54% TN:2% DO:8% )
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (OCAK 2021)(GSM:21% SA:20% SI:50% TN:2% DO:8% )
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (OCAK 2021)(SI:86% DO:14% )
VB62021013102768;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (OCAK 2021)
VB62021013102768;ÝSKONTO
BTE2021000000465;SISTEM DESTEK HIZMET BEDELI
BTE2021000000477;SISTEM DESTEK HIZMET BEDELI
BIL2021000000031;KAREL TM145 TELEFON
BTE2021000000805;MICROSOFT AZURE
A162021000476991;DSL(ÝNTERNET)
A162021000420610;DSL(ÝNTERNET)
A162021000471839;DSL(ÝNTERNET)
A162021000349255;DSL(ÝNTERNET)
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (ÞUBAT 2021)(GSM:35% SA:10% SI:48% TN:1% DO:6% )
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (ÞUBAT 2021)(GSM:34% SA:14% SI:46% TN:1% DO:5% )
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (ÞUBAT 2021)(GSM:26% SA:20% SI:50% TO:2% DO:2% )
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (ÞUBAT 2021)(SA:100% )
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (ÞUBAT 2021)(GSM:36% SA:11% SI:51% DO:2% )
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (ÞUBAT 2021)(GSM:23% SA:10% SI:56% TO:8% DO:5% )
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (ÞUBAT 2021)
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (ÞUBAT 2021)
VC32021022802192;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (ÞUBAT 2021)(GSM:32% SA:11% SI:52% TN:2% DO:2% )
VC32021022802192;ÝSKONTO
K012021000280025;TELEFON
BTE2021000000898;SISTEM DESTEK HIZMET BEDELI
BTE2021000000908;SISTEM DESTEK HIZMET BEDELI
BIL2021000000074;KAREL TM145 TELEFON
VTN2021000087357;HP 103A 2500 SAYFA KAPASÝTELÝ SÝYAH TONER (W1103A )
BTE2021000001206;MICROSOFT AZURE
A162021000812107;DSL(ÝNTERNET)
A162021000747456;DSL(ÝNTERNET)
A162021000859229;DSL(ÝNTERNET)
A162021000639710;DSL(ÝNTERNET)
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (MART 2021)(GSM:25% SA:12% SI:57% TN:2% DO:6% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (MART 2021)(SA:33% SI:67% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (MART 2021)(GSM:31% SA:16% SI:46% TN:3% TO:1% DO:3% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (MART 2021)(GSM:32% SA:8% SI:48% TN:4% DO:9% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (MART 2021)(GSM:54% SA:8% SI:31% DO:7% )
VD62021033100841;KURULUM
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (MART 2021)(GSM:21% SA:11% SI:36% TN:1% TO:15% DO:15% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (MART 2021)(SI:100% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (MART 2021)(SI:100% )
