Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Kur; Usd tutar ;Ücret
Beksan;04.01.2021;BTE2021000000040;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺472,00
Bekkiler;04.01.2021;BTE2021000000050;SISTEM DES+B645+D629:F629+D629+D629:H629;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺531,00
Bekkiler;07.01.2021;VTN2021000008214; HP 103A 2500 SAYFA KAPASİTELİ SİYAH TONER (W1103A );YAZICI G.;VATAN BİLGİSAYAR;1,00;;;₺118,00
Beksan;18.01.2021;BTE2021000000286;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺413,26
Bekkiler;21.01.2021;VTN2021000026427; HP HP001GBBLK5TW HDMI TO HDMI CABLE- 5M;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺83,82
Bekkiler;21.01.2021;VTN2021000026427; GOLDMASTER CAB-186 1.5 M HDMI KABLO-SİYAH;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺25,31
Bekkiler;21.01.2021;VTN2021000026427; S-LINK SL-DS560 DISPLAY DEN HDMI KABLO 1.8M;DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺81,55
Bekkiler;21.01.2021;VTN2021000026427;KDV(%18.00);DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺34,32
Beksan;29.01.2021;VTN2021000037180; FRISBY- HARDDISK YUVASI;DONANIM G.;VATAN BİLGİSAYAR;2,00;;;₺91,70
Beksan;29.01.2021;VTN2021000037180;Kingston 240GB HyperX SSD;DONANIM G.;VATAN BİLGİSAYAR;2,00;;;₺521,86
Beksan;29.01.2021;VTN2021000037180;KDV(%18);DONANIM G.;VATAN BİLGİSAYAR;1,00;;;₺110,44
Beksan;31.01.2021;A162021000189856;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺287,75
Beksan;31.01.2021;A162021000140416;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺129,75
Bekkiler;31.01.2021;A162021000195869;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺149,75
Bekkiler;31.01.2021;A162021000062469;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺129,75
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Ocak 2021)(GSM:29% SA:6% SI:55% DO:10% );SABIT HAT;TURKNET;1,00;;;₺28,05
Beksan;31.01.2021;K012021000010570;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺634,50
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465108 (Ocak 2021)(GSM:32% SA:18% SI:48% TN:1% DO:2% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Ocak 2021)(GSM:21% SA:13% SI:59% TO:2% DO:4% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Ocak 2021)(GSM:18% SA:30% SI:46% TO:2% DO:5% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Ocak 2021)(GSM:25% SA:7% SI:60% DO:8% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462755 (Ocak 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Ocak 2021)(GSM:27% SA:9% SI:54% TN:2% DO:8% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460409 (Ocak 2021)(GSM:21% SA:20% SI:50% TN:2% DO:8% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Ocak 2021)(SI:86% DO:14% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662465109 (Ocak 2021);SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;31.01.2021;VB62021013102768;İskonto;SABIT HAT;TURKNET;1,00;;;-₺38,30
Bekkiler;31.01.2021;VB62021013102768;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺43,59
Bekkiler;31.01.2021;VB62021013102768;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺24,52
Beksan;01.02.2021;BTE2021000000465;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺472,00
Bekkiler;01.02.2021;BTE2021000000477;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺531,00
Bekkiler;08.02.2021;BIL2021000000031;KAREL TM145 TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;3,00;;;₺420,00
Beksan;24.02.2021;BTE2021000000805;MICROSOFT AZURE;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺392,99
Beksan;28.02.2021;A162021000476991;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺293,25
Beksan;28.02.2021;A162021000420610;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺40,75
Bekkiler;28.02.2021;A162021000471839;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺152,00
Bekkiler;28.02.2021;A162021000349255;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺131,75
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462751 (Şubat 2021)(GSM:35% SA:10% SI:48% TN:1% DO:6% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662460518 (Şubat 2021)(GSM:34% SA:14% SI:46% TN:1% DO:5% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462750 (Şubat 2021)(GSM:26% SA:20% SI:50% TO:2% DO:2% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662461426 (Şubat 2021)(SA:100% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662462752 (Şubat 2021)(GSM:36% SA:11% SI:51% DO:2% );SABIT HAT;TURKNET;1,00;;;₺28,05
Bekkiler;28.02.2021;VC32021022802192;İŞ Telefon - 1000 Dakika - Taahhütsüz-2662463513 (Şubat 2021)(GSM:23% SA:10% SI:56% TO:8% DO:5% );SABIT HAT;TURKNET;1,00;;;₺28,05
